Date,Movement_PerC,Open,High,Low,Close,Volume,latent_1,latent_2,latent_3,latent_4,latent_5
2016-03-31,-0.008172,0.069922,0.073221,0.065524,-0.148626,1552000.0,1.8627231,-0.3053646,1.8970869,0.12370564,-2.5704412
2016-03-30,0.021387,0.098421,0.104598,0.095613,0.380855,1827200.0,1.5642562,-0.35952002,1.9530425,0.9889331,-2.5294073
2016-03-29,0.010011,0.071415,0.088431,0.06858,0.176497,959900.0,1.0698104,-0.7701584,2.0567822,0.11025061,-2.2252667
2016-03-28,0.002641,0.077657,0.082776,0.07652,0.046444,606400.0,1.6206177,-0.64124775,2.0121114,-1.0798278,-2.273643
2016-03-24,-0.008381,0.060166,0.068061,0.059039,-0.148627,1313100.0,2.0048661,-0.42059636,1.8488708,-1.5132725,-2.43656
2016-03-23,-0.007796,0.074282,0.074282,0.067008,-0.139337,1305800.0,1.663291,-0.09921691,2.1263137,-1.3786018,-2.9848025
2016-03-22,0.0,0.072044,0.079877,0.069806,0.0,1251700.0,1.5646834,-0.11908144,1.9683974,-0.57399017,-3.2742803
2016-03-21,-0.010797,0.063236,0.071539,0.06213,-0.195074,2730400.0,2.876732,-0.05790201,1.3339987,-0.37525493,-3.2052705
2016-03-18,0.001545,0.079846,0.082618,0.074303,0.027868,2104100.0,2.9782126,-0.0235679,1.3654094,0.34181345,-3.2724671
2016-03-17,0.02697,0.088475,0.108969,0.085059,0.473749,1923800.0,2.3284867,-0.43092835,1.6100657,0.93106747,-3.0368078
2016-03-16,0.030518,0.08532,0.11172,0.08532,0.520195,1800500.0,1.371506,-1.0734901,1.9314716,0.81685656,-2.7097468
2016-03-15,-0.008108,0.071283,0.071283,0.0643,-0.139337,1169600.0,1.3445123,-1.4361287,1.9316545,-0.5477003,-2.5066314
2016-03-14,-0.009106,0.064988,0.069601,0.061528,-0.157917,1151900.0,1.1483939,-1.3726169,1.9005527,0.0654562,-2.6809
2016-03-11,0.023575,0.093636,0.103079,0.091275,0.399435,1912000.0,0.9460485,-1.3669548,1.919337,0.8427132,-2.6724596
2016-03-10,0.001647,0.083023,0.091299,0.069426,0.027868,2440300.0,1.042217,-1.5342094,2.220036,-0.6478328,-2.5099835
2016-03-09,-0.000549,0.074748,0.080656,0.071202,-0.009289,1220300.0,1.2855569,-1.4479537,2.0778444,-1.0430295,-2.6251674
2016-03-08,-0.013001,0.073021,0.074188,0.061358,-0.22294,1689500.0,1.2538805,-1.3391749,2.0804865,-1.0316607,-2.8668544
2016-03-07,0.003806,0.067739,0.082374,0.067154,0.065023,1246400.0,0.7017113,-1.3798592,2.0413418,0.05633633,-3.1308622
2016-03-04,-0.006483,0.063725,0.075357,0.060236,-0.111471,2423900.0,1.5025833,-1.3947587,1.6125089,-0.08045189,-3.0771492
2016-03-03,0.015917,0.084792,0.093655,0.084792,0.269388,1271500.0,1.6324594,-1.3536379,1.4210556,0.4932412,-3.1306427
2016-03-02,0.001099,0.065873,0.078886,0.062916,0.018576,1934100.0,1.2506168,-1.6782544,1.3053582,0.23064677,-2.9831827
2016-03-01,0.022472,0.086801,0.101921,0.083778,0.37157,1371600.0,1.0869851,-1.8779521,1.2595894,0.61945224,-2.8469043
2016-02-29,0.0,0.079544,0.088616,0.07652,0.0,1572500.0,0.6977314,-2.115467,1.4834671,-0.26015556,-2.694258
2016-02-26,-0.000562,0.080147,0.083169,0.072289,-0.00929,1155100.0,0.7563113,-2.096509,1.3547437,-0.5279226,-2.7173991
2016-02-25,0.006783,0.074086,0.084431,0.071652,0.111469,1502300.0,0.725139,-2.080965,1.2180635,-0.59305716,-2.6819413
2016-02-24,0.002266,0.058222,0.08018,0.052733,0.037157,1547900.0,1.0377073,-1.9391718,1.1125815,-1.2566187,-2.7731469
2016-02-23,-0.013415,0.070503,0.075317,0.060273,-0.22294,1461600.0,1.1736373,-1.7130895,1.2603346,-1.6185626,-3.1774666
2016-02-22,0.00168,0.073506,0.080739,0.072903,0.027868,1664500.0,0.8866682,-1.8978853,0.9389515,-0.3996327,-3.3855135
2016-02-19,-0.00056,0.071098,0.078327,0.067484,-0.009291,1485000.0,1.8904085,-1.9978056,0.23448238,-0.35170323,-3.1833265
2016-02-18,0.00056,0.08315,0.08315,0.074712,0.009291,2096000.0,2.8321445,-2.1716971,-0.30127892,-0.05439295,-2.7121544
2016-02-17,0.021739,0.091301,0.104234,0.088837,0.352989,2620200.0,2.43444,-2.6273334,-0.246524,0.50859815,-2.2594883
2016-02-16,0.026424,0.100541,0.106862,0.089163,0.418014,2383800.0,1.171749,-3.2774262,0.13932705,0.647684,-1.6840547
2016-02-12,0.021596,0.084915,0.101706,0.079103,0.334411,2286700.0,0.51402533,-3.4676292,0.41218126,-0.28682786,-1.3393224
