Date,Movement_PerC,Open,High,Low,Close,Volume,latent_1,latent_2,latent_3,latent_4,latent_5
2016-03-31,-0.007435,-0.001706,0.000426,-0.012778,-5.580017,1718800.0,-2.0316637,1.9439415,-2.354381,2.1193593,2.4314535
2016-03-30,0.007734,0.007157,0.017603,0.00533,5.760009,1782400.0,-1.8685337,2.2703998,-2.1053016,2.6899016,2.6141455
2016-03-29,0.015323,0.001445,0.018704,-0.006503,11.239991,1903800.0,-2.120612,1.9613358,-2.0134,2.3672931,2.395333
2016-03-28,-0.002407,0.002026,0.005018,-0.003808,-1.769959,1301300.0,-2.1563554,2.0499098,-2.8041558,1.2686737,2.0279353
2016-03-24,-0.00374,-0.008197,-0.000424,-0.009566,-2.76001,1594900.0,-2.0815632,2.319559,-2.8687043,1.3045667,2.1202393
2016-03-23,-0.003631,0.002173,0.006709,-0.00621,-2.690002,1432100.0,-1.9154712,2.4834938,-2.7290812,1.6700927,2.330695
2016-03-22,-0.001806,-0.006239,0.003921,-0.006239,-1.340027,1269700.0,-1.9329046,2.5439856,-2.310789,2.1905801,2.4359684
2016-03-21,0.006087,-0.001491,0.006643,-0.005537,4.490051,1836500.0,-1.9935554,2.5725114,-1.993376,2.3780365,2.3754702
2016-03-18,-0.000244,0.00553,0.00572,-0.008065,-0.180053,2980700.0,-2.0196955,2.5094292,-2.0213845,2.1538093,2.2595675
2016-03-17,0.002296,0.000489,0.009483,-0.000122,1.690002,1860800.0,-1.9652327,2.5877695,-1.8638556,2.4361506,2.2145958
2016-03-16,0.010655,-0.002691,0.012549,-0.005245,7.76001,1624400.0,-2.068314,2.4967754,-1.4744003,2.2097003,2.1256483
2016-03-15,-0.002957,-0.004887,0.002464,-0.00783,-2.159973,1721000.0,-2.1476526,2.2958305,-1.2950424,1.8107728,1.9382051
2016-03-14,0.005049,-1.4e-05,0.011942,-0.002298,3.669983,1718300.0,-2.1532905,2.3201735,-0.8504079,1.9998931,1.8058385
2016-03-11,0.01964,0.010073,0.019781,0.006039,14.0,1970800.0,-2.4472644,1.6385838,-0.6737279,1.8897074,1.4113588
