Date,Movement_PerC,Open,High,Low,Close,Volume,latent_1,latent_2,latent_3,latent_4,latent_5
2016-03-31,0.009284,0.180575,0.21508,0.180575,0.489712,76200.0,1.1557158,-0.4624517,2.9018695,1.5409449,-1.7061101
2016-03-30,-0.023143,0.184367,0.20585,0.15029,-1.249614,104800.0,1.549939,-0.34269595,2.966148,1.4757113,-1.3644806
2016-03-29,0.011227,0.179872,0.20965,0.163204,0.599475,74400.0,1.0757076,0.01799608,2.7822366,1.854737,-1.4127549
2016-03-28,-0.019383,0.180878,0.184551,0.160676,-1.055416,72600.0,1.448443,0.106696054,2.9382777,1.7519721,-1.0785547
2016-03-24,0.015431,0.174856,0.205999,0.158446,0.82745,70600.0,1.0944924,0.4363408,2.8111691,2.1899984,-1.0004208
2016-03-23,-0.028751,0.192336,0.195053,0.150135,-1.587349,80100.0,1.5979688,0.6383598,3.1097639,1.9949448,-0.5175291
2016-03-22,0.001532,0.180739,0.194344,0.167315,0.084435,104200.0,0.88807315,0.95563096,2.898283,2.8214483,-0.58783424
2016-03-21,0.00261,0.183276,0.193461,0.178183,0.143531,94200.0,0.95532435,1.5766762,2.7001681,2.8225896,-0.7566279
2016-03-18,-0.005953,0.193768,0.195576,0.166288,-0.329288,97100.0,1.1066103,1.9394246,2.4927733,2.9213202,-0.7480834
2016-03-17,-0.004559,0.193005,0.204343,0.178968,-0.253296,221800.0,0.8038692,2.1763098,2.4472442,3.0240567,-1.0732962
2016-03-16,0.042122,0.184367,0.241569,0.184367,2.245922,169900.0,0.3621071,2.3142252,2.2182634,3.0819519,-1.6064348
2016-03-15,0.002063,0.176474,0.202033,0.168956,0.109764,74600.0,1.1129068,2.0082042,2.5959864,2.5931373,-1.0355047
2016-03-14,-0.015159,0.185662,0.206392,0.164933,-0.819004,66300.0,1.1378448,2.4920628,2.6077309,2.4534419,-1.1528807
2016-03-11,0.014909,0.203152,0.216676,0.193759,0.793678,66700.0,0.72306764,3.329728,2.172126,2.4917042,-1.7380723
2016-03-10,-0.005207,0.195953,0.198382,0.161569,-0.278633,56100.0,1.2521155,3.8105428,2.014025,2.1438987,-1.5896398
2016-03-09,0.004437,0.185305,0.215525,0.183428,0.236412,78500.0,1.1270728,4.1453934,1.893986,2.3472579,-1.6149303
2016-03-08,-0.035168,0.17658,0.193784,0.12533,-1.941963,186000.0,1.3499937,4.4612966,1.7032535,2.4009442,-1.578858
2016-03-07,-0.016097,0.193811,0.201651,0.158709,-0.903435,98000.0,0.8135453,4.8241515,1.3329759,2.984415,-1.6317221
2016-03-04,0.047762,0.196688,0.241308,0.186607,2.558323,138300.0,0.8622151,5.5496435,0.57053787,2.9348898,-2.285861
2016-03-03,-0.038205,0.194063,0.197654,0.131218,-2.127716,266800.0,1.4796035,5.946112,0.1747311,2.5797417,-2.6567228
2016-03-02,0.065887,0.229483,0.294363,0.218573,3.442581,572400.0,1.5254934,7.3790727,-0.65672505,2.193145,-3.7432194
2016-03-01,0.063697,0.257106,0.297822,0.201325,3.128865,317400.0,1.8958118,6.386138,-0.9617691,2.3007004,-3.8167262
2016-02-29,0.036766,0.273354,0.322321,0.203491,1.741928,475600.0,2.014533,5.2638226,-1.0248768,2.3523684,-3.8087492
2016-02-26,0.106847,0.214805,0.342359,0.214805,4.573597,287300.0,2.0157156,3.9099863,-1.1903417,2.5692842,-3.7333004
2016-02-25,0.01151,0.224298,0.230441,0.186489,0.487083,69500.0,2.4224076,1.4758054,-0.93674827,2.6451247,-3.454084
2016-02-24,0.013244,0.188315,0.236441,0.177062,0.553128,131900.0,3.1220803,2.0276546,-1.0252464,2.0743318,-3.6381445
2016-02-23,0.013218,0.211301,0.23459,0.211301,0.544864,87800.0,3.4475522,2.2299955,-1.0795319,1.8105067,-3.664006
