Date,Movement_PerC,Open,High,Low,Close,Volume,latent_1,latent_2,latent_3,latent_4,latent_5
2016-03-31,-0.001516,0.036836,0.041264,0.034265,-0.10614,1945500.0,1.6544774,-2.4313374,-0.49785745,-1.8280679,1.9528543
2016-03-30,0.002626,0.037983,0.044858,0.036264,0.183335,2674500.0,1.8519611,-2.0977364,-0.5877088,-1.9320787,1.8781797
2016-03-29,-0.010529,0.014724,0.026345,0.00778,-0.742951,3792800.0,2.2885625,-1.6872258,-0.9478661,-2.1296992,1.6382267
2016-03-28,-0.002319,0.039235,0.040791,0.028772,-0.164032,1329200.0,2.2863834,-1.7233895,-0.0971801,-2.3378973,1.5694712
2016-03-24,-0.008253,0.027713,0.030238,0.022104,-0.588577,1361300.0,2.5546792,-1.3937476,0.17999822,-2.2366056,2.0027263
2016-03-23,-0.006452,0.042956,0.043095,0.027491,-0.463135,2741800.0,2.3899477,-1.3620749,0.83884335,-2.0038142,2.597334
2016-03-22,0.009636,0.034157,0.050474,0.033594,0.685059,1722800.0,2.2403333,-1.4839187,1.0497023,-1.6044782,3.0728843
2016-03-21,0.013759,0.041684,0.053092,0.041541,0.964874,1891300.0,2.4307625,-1.9527307,0.89801115,-1.3005478,2.880348
2016-03-18,-0.008188,0.01887,0.028205,0.018587,-0.578918,3375800.0,2.9912412,-2.0602617,-0.3206124,-1.4769546,1.6274434
2016-03-17,-0.000136,0.031317,0.040084,0.028913,-0.009652,1956500.0,3.0138085,-1.6289299,0.1396539,-1.4255325,2.1657262
2016-03-16,0.00535,0.031289,0.044227,0.029583,0.376297,1863900.0,3.2472432,-1.4947006,0.14477257,-1.3789254,2.1851127
2016-03-15,-0.011391,0.031207,0.032472,0.022212,-0.810485,3461800.0,3.5478823,-1.1398566,0.023854557,-1.5327343,2.2611341
2016-03-14,-0.009404,0.032091,0.033066,0.026244,-0.675415,1471300.0,3.338014,-1.0106845,0.6739886,-1.2479764,3.027792
2016-03-11,0.014584,0.039798,0.051946,0.038668,1.032409,1691200.0,3.1303399,-1.1750994,0.95732105,-0.81164217,3.5751262
2016-03-10,0.013118,0.053438,0.062024,0.041416,0.916634,3518400.0,3.1315725,-2.0724587,0.9272006,-0.13632372,3.5436707
2016-03-09,0.002908,0.03813,0.042005,0.035116,0.202621,1254000.0,3.5673385,-2.5994163,0.03866062,0.097844064,2.6400256
2016-03-08,-0.003725,0.036836,0.040125,0.031975,-0.260521,1639700.0,3.7831862,-2.2725992,-0.41435564,-0.044578105,2.4032953
2016-03-07,0.003878,0.029517,0.04459,0.027508,0.270172,2083400.0,3.9270756,-2.210662,-0.24961205,0.051051825,2.4688716
2016-03-04,-0.010281,0.025042,0.030298,0.019927,-0.723655,2149800.0,4.1854568,-1.7203484,-0.48800224,-0.024377018,2.8291783
2016-03-03,-0.006537,0.027516,0.030621,0.023564,-0.463143,2624100.0,4.006746,-1.7714732,0.031513322,0.2106826,3.3260355
2016-03-02,0.0081,0.032424,0.045941,0.031712,0.569283,2539700.0,3.8185527,-1.9839234,0.106406584,0.6856948,3.6845107
2016-03-01,0.024328,0.051128,0.062496,0.04559,1.66922,2622300.0,3.8884032,-2.4735234,-0.07526003,1.1076665,3.6765857
2016-02-29,-0.012772,0.028206,0.036839,0.022451,-0.88768,2140600.0,4.336573,-2.2018607,-1.5224721,0.86529076,2.824521
2016-02-26,-0.007578,0.036693,0.036836,0.028411,-0.530678,3082300.0,4.3451824,-2.0187614,-1.1423527,0.7557243,2.876555
2016-02-25,0.012132,0.039154,0.049993,0.038431,0.839439,2199500.0,4.3618083,-2.0132108,-1.0140371,0.86861956,2.8579144
2016-02-24,0.011596,0.03439,0.051057,0.032782,0.793122,2712000.0,4.6206803,-1.918831,-1.6650213,0.7969941,2.3872933
2016-02-23,-0.007814,0.076209,0.079835,0.06794,-0.538643,2312800.0,4.1552567,-2.6913233,-0.21953003,1.2244678,2.686256
2016-02-22,0.007055,0.080441,0.087745,0.079565,0.482925,2409300.0,3.8689616,-2.7054572,0.37046477,1.7070669,3.8012762
2016-02-19,0.0,0.077665,0.081172,0.07153,0.0,1992500.0,3.9131048,-2.7252202,-0.22070508,1.9088675,3.7123184
2016-02-18,0.000815,0.087754,0.088485,0.075181,0.055718,3285900.0,3.6690242,-2.5876057,-0.46794397,2.1208484,4.1590714
2016-02-17,0.004912,0.076348,0.083547,0.072234,0.334327,3132200.0,3.5575948,-2.8421774,-0.5740244,2.4806132,4.436166
2016-02-16,0.008116,0.076197,0.090416,0.073382,0.547928,3625700.0,3.2877495,-3.0655632,-0.79287183,2.8160968,4.70266
2016-02-12,0.006925,0.079026,0.085141,0.071271,0.464341,2123200.0,2.9755545,-2.9233446,-1.8406168,3.212531,4.5861826
2016-02-11,-0.010823,0.066757,0.070741,0.055545,-0.733658,2357300.0,2.8373542,-2.3021057,-2.8242517,3.1197786,4.7059035
2016-02-10,0.005095,0.088948,0.099031,0.081385,0.343605,2742800.0,2.5856915,-1.963547,-2.6817653,3.1074467,4.9146852
2016-02-09,-0.007652,0.063252,0.07723,0.057955,-0.520058,2702700.0,2.7699237,-1.365114,-3.4878888,2.8538184,5.0279994
2016-02-08,-0.015472,0.056653,0.06433,0.049409,-1.067993,2831500.0,2.5855448,-1.5692948,-3.313352,2.655169,4.5030165
2016-02-05,-0.009725,0.075354,0.077076,0.061152,-0.677933,2306700.0,2.392467,-1.6502906,-2.8499951,2.3877132,4.0750074
2016-02-04,-0.018952,0.051878,0.064545,0.048501,-1.346603,2220600.0,2.2872763,-1.6064554,-2.710697,2.153548,3.7533298
2016-02-03,0.008967,0.082895,0.086445,0.066849,0.6315,2218700.0,2.0580523,-1.88633,-1.9686371,2.2156258,3.6366744
2016-02-02,-0.018636,0.062436,0.06369,0.053378,-1.337296,2927700.0,2.1539953,-1.6124054,-2.4823704,1.7953595,3.2860465
2016-02-01,-0.008978,0.067812,0.071541,0.058421,-0.650093,1867100.0,2.347461,0.07724218,-2.943904,1.1599078,3.96286
2016-01-29,0.018683,0.070318,0.097047,0.069896,1.328026,3653800.0,2.3616543,0.458035,-3.0988686,0.8903413,3.8066206
2016-01-28,-0.021102,0.062742,0.064119,0.041672,-1.532333,3311900.0,2.712105,0.8423266,-3.611508,0.3909541,3.3278208
2016-01-27,-0.053848,0.038351,0.040175,0.011118,-4.13266,4515000.0,2.522967,0.02719498,-2.4538803,0.24364284,2.283256
2016-01-26,0.012497,0.084045,0.091829,0.076789,0.947266,2557600.0,1.7906873,-0.8193598,-0.08240928,0.54066896,2.6444283
2016-01-25,-0.007539,0.067885,0.078098,0.063565,-0.575791,2314700.0,1.5253637,-1.2195175,-0.5682327,1.0951027,2.7283816
2016-01-22,0.029802,0.099441,0.111441,0.097688,2.210281,2239400.0,1.2173035,-1.2458994,-0.45581937,1.4749051,3.3813422
2016-01-21,-0.007827,0.070234,0.072909,0.060468,-0.585075,2642800.0,1.4046261,-1.3209069,-2.1564891,1.7559949,2.9010954
2016-01-20,-0.006174,0.064557,0.077853,0.046476,-0.46434,2157200.0,1.1243404,-1.3741467,-2.0679898,1.8912524,2.9021902
2016-01-19,0.009473,0.095579,0.096921,0.077728,0.705795,2628200.0,0.89475274,-1.1997327,-1.86283,1.8069402,2.9023943
2016-01-15,-0.029867,0.043066,0.056217,0.036295,-2.293854,2197600.0,0.84919214,-1.2978675,-2.4723878,1.6355275,2.5950205
2016-01-14,0.019855,0.086881,0.102816,0.078648,1.495194,2909800.0,0.49619254,-1.5525298,-0.8650839,1.7377169,3.0520365
2016-01-13,-0.013984,0.082288,0.084645,0.06147,-1.068001,2233500.0,0.6383671,-1.08373,-2.3566425,1.4941999,2.5870695
2016-01-12,0.007349,0.086549,0.089978,0.072436,0.557213,1585800.0,0.67659,-0.53927994,-2.3841715,1.2437929,2.6141052
2016-01-11,0.000981,0.082994,0.083522,0.064511,0.074303,3543500.0,1.010217,0.07130511,-3.1981194,0.80809283,2.4045641
2016-01-08,-0.028354,0.069605,0.071145,0.043949,-2.210282,2104600.0,1.0320525,0.13525198,-3.1044059,0.20543233,1.610979
2016-01-07,-0.012819,0.062732,0.069444,0.058807,-1.012268,2318800.0,0.82595897,-0.7771857,-1.5075471,-0.38355795,0.4206716
2016-01-06,-0.013687,0.05593,0.064923,0.05593,-1.095848,2736900.0,0.9987509,-0.4838488,-0.87021637,-0.66794145,0.20485693
2016-01-05,0.005364,0.07051,0.083193,0.070008,0.427193,2674200.0,1.1635205,-0.09607737,-0.28744626,-0.7750776,0.3664436
2016-01-04,-0.003371,0.071157,0.07366,0.05714,-0.269318,2285700.0,1.5485113,0.061627638,-0.51288784,-1.0694993,0.12438976
