Date,Movement_PerC,Open,High,Low,Close,Volume,latent_1,latent_2,latent_3,latent_4,latent_5
2016-03-31,-0.013025,0.073325,0.075177,0.062216,-0.492458,6512900.0,-1.6915029,2.7415805,0.9904197,3.1472576,-2.4152203
2016-03-30,0.018778,0.084857,0.100217,0.084588,0.696877,5597200.0,-1.6046131,3.0530477,0.7910338,2.9639251,-2.497241
2016-03-29,0.03071,0.087344,0.110952,0.081789,1.105705,5798900.0,-1.6866528,2.5983658,1.9579132,2.8090193,-2.271269
2016-03-28,-0.003087,0.079834,0.080941,0.072912,-0.1115,2075400.0,-1.4791847,1.7527205,3.4783964,3.100877,-1.978022
2016-03-24,-0.013452,0.053836,0.061757,0.051924,-0.492458,2236800.0,-1.5642971,1.5502996,3.420339,3.125889,-1.6560836
2016-03-23,-0.012531,0.075695,0.075695,0.059241,-0.464581,1164800.0,-1.9246796,1.4730436,2.8256495,3.0224526,-1.2950977
2016-03-22,-0.002999,0.052031,0.075965,0.050687,-0.111503,2258700.0,-1.9527158,1.6764692,2.3659365,3.02351,-1.2600198
2016-03-21,0.00075,0.073812,0.078118,0.070045,0.027877,1877800.0,-2.0363307,1.7013849,1.861296,3.0444233,-1.3417994
2016-03-18,-0.010149,0.067443,0.069841,0.060784,-0.380958,2049300.0,-2.06594,1.6493486,1.7288293,3.1879337,-1.2845932
2016-03-17,-0.008832,0.065937,0.07069,0.06092,-0.334499,1812500.0,-2.5480301,1.635003,1.2815539,3.0710986,-0.71168035
2016-03-16,-0.009478,0.06525,0.070481,0.054527,-0.362378,3620800.0,-2.6392632,1.9238895,0.9028854,3.0676486,-0.44843668
2016-03-15,-0.011767,0.064087,0.067447,0.059176,-0.455288,1544200.0,-2.6159317,2.4535127,0.20955847,3.0342,-0.47725448
2016-03-14,0.004341,0.078052,0.083762,0.076234,0.167248,827700.0,-2.5194824,2.9911022,-0.42636877,3.0034597,-0.84398633
2016-03-11,0.023957,0.098296,0.102017,0.093246,0.901291,744600.0,-2.3738835,3.217208,-0.14124203,3.0182726,-0.71191376
2016-03-10,0.006213,0.098166,0.106724,0.076502,0.232288,951400.0,-2.3952386,3.1312318,0.56768495,2.9666836,-0.098928735
