Date,Movement_PerC,Open,High,Low,Close,Volume,latent_1,latent_2,latent_3,latent_4,latent_5
2016-03-31,0.015989,0.017134,0.025879,0.011752,0.237686,11100.0,1.547664,2.1852012,-3.3026047,-2.4900851,3.9689772
2016-03-30,-0.002658,0.015101,0.015101,0.006379,-0.039615,1800.0,1.2862307,2.1091735,-3.5499988,-2.6033227,3.7115602
2016-03-29,0.010067,0.02532,0.02532,0.011089,0.148555,2300.0,1.4328965,2.0458498,-3.3299704,-2.7376351,3.8635168
2016-03-28,0.006757,0.019968,0.024061,0.016556,0.099035,2200.0,1.3520777,1.8806684,-3.5415273,-2.8389635,3.7143378
2016-03-24,-0.006711,0.02261,0.02532,-0.000431,-0.099035,1800.0,1.3746859,1.8373728,-3.5821037,-2.9350395,3.684834
2016-03-23,0.016371,0.01731,0.027642,0.012489,0.237686,26900.0,1.4519546,1.6662506,-3.6521552,-2.9161587,3.834426
2016-03-22,-0.000682,0.008357,0.013175,0.008357,-0.009904,3200.0,1.415831,1.1737759,-3.4633276,-3.152151,3.6184688
2016-03-21,0.00342,0.011115,0.018712,0.001446,0.049518,13400.0,1.4706467,0.97945815,-3.2073479,-3.2675076,3.6898332
2016-03-18,0.006887,0.008343,0.022947,0.008343,0.099036,6800.0,1.333746,0.8220583,-3.0780888,-3.396975,3.635367
2016-03-17,0.021816,0.01755,0.040999,0.01755,0.307012,10700.0,0.98026943,0.7369984,-3.226099,-3.5005574,3.4627972
2016-03-16,0.00495,0.004021,0.023302,0.004021,0.069324,13900.0,0.45790756,0.39492595,-3.312589,-3.6600308,2.9477363
2016-03-15,0.009279,0.022707,0.022707,0.0155,0.128747,1600.0,0.25122097,0.13127267,-3.0342436,-3.7677944,2.825682
2016-03-14,0.005022,0.010458,0.029291,0.010458,0.069327,3200.0,-0.29735684,0.22947955,-3.004467,-3.8669302,2.4857664
2016-03-11,0.013818,0.025155,0.028093,0.022218,0.188167,900.0,-0.69216406,0.10343449,-3.0471892,-3.900988,2.1301417
2016-03-10,0.008064,0.001591,0.028981,0.00011,0.108939,4800.0,-0.544929,-0.09618306,-2.8403409,-3.9902778,1.9224597
2016-03-09,-0.010877,0.000215,0.006805,-0.004178,-0.148553,1800.0,-0.15450269,-0.2276358,-3.0049663,-4.016884,1.9391967
2016-03-08,-0.007914,0.009734,0.025715,0.001017,-0.10894,6700.0,0.09681294,0.037644867,-3.5550413,-3.9866724,2.2739475
2016-03-07,-0.009266,-0.006099,0.01981,-0.016895,-0.128747,9700.0,0.24572966,0.15296079,-3.5998363,-3.986631,2.4646883
2016-03-04,0.018142,0.003872,0.028053,0.003139,0.24759,4600.0,0.4453249,0.06480776,-3.5050418,-4.0790195,2.6648002
2016-03-03,-0.010057,0.008283,0.008283,-0.002598,-0.13865,3100.0,0.59547824,-0.15376516,-3.4976492,-4.2793374,2.3251927
2016-03-02,-0.004292,0.009734,0.019123,0.001067,-0.059421,6200.0,0.74648046,-0.13320874,-3.4638906,-4.3952947,2.6937013
2016-03-01,0.005755,0.009734,0.015545,-0.010606,0.079228,4100.0,1.0043535,-0.42185074,-3.128122,-4.56509,2.8678007
2016-02-29,0.0,0.009007,0.028621,0.006102,0.0,10400.0,0.8391122,-0.38805538,-3.1168206,-4.7776127,2.8720448
2016-02-26,0.010909,0.01414,0.03103,0.010468,0.148554,3700.0,0.9258115,-0.562766,-2.8729403,-4.921536,2.7822046
2016-02-25,0.008064,0.02676,0.031202,0.00011,0.108939,5200.0,0.9005613,-0.77973896,-2.7923794,-5.1245184,2.5160708
2016-02-24,-0.005831,0.025189,0.025189,-0.001305,-0.079228,2500.0,1.1407398,-0.8742085,-2.6759114,-5.323479,2.54495
2016-02-23,-0.018598,0.008289,0.008289,-0.013379,-0.257493,6800.0,1.2529451,-0.7720291,-2.6971035,-5.4299173,2.7302184
2016-02-22,0.020438,0.031845,0.034793,0.018578,0.277301,11900.0,1.774654,-0.85197264,-2.029722,-5.5855837,3.2670074
2016-02-19,0.005874,0.00751,0.023078,0.005286,0.079228,8600.0,1.4121398,-1.3724096,-1.8506894,-5.872123,2.775868
2016-02-18,-0.008012,-0.001297,0.021501,-0.006445,-0.108939,16100.0,0.9746771,-1.5322868,-1.3371736,-6.1611233,2.4382925
2016-02-17,0.039364,0.00897,0.056361,0.00897,0.514987,10200.0,0.58644336,-1.5873932,-1.0003189,-6.3252397,2.272585
2016-02-16,0.000758,0.026563,0.028858,0.006674,0.009904,7100.0,-0.91869116,-2.0677457,-1.4965386,-6.466968,0.92667747
2016-02-12,0.000758,0.020451,0.036527,0.008203,0.009903,9600.0,-0.8233777,-2.1552644,-1.3342408,-6.571899,0.8591978
2016-02-11,0.007639,0.003563,0.031333,0.003563,0.099036,13300.0,-0.63652754,-2.4148655,-1.2002177,-6.6841903,0.7036881
2016-02-10,-0.009834,-0.006306,0.020427,-0.006306,-0.128747,12400.0,-0.46842453,-2.6189,-1.0309974,-6.8369884,0.42706954
2016-02-09,-0.002264,-0.009318,0.017355,-0.009318,-0.029711,28300.0,-0.6015221,-2.532498,-1.1349854,-6.8108673,0.3381499
2016-02-08,-0.00301,-0.01002,0.013533,-0.01002,-0.039614,13900.0,-0.5381158,-2.659297,-0.6364577,-6.850318,0.48993856
2016-02-05,0.003019,0.015068,0.016592,0.00821,0.039614,5200.0,-0.43358746,-2.8389935,-0.30697632,-6.9889812,0.44010335
2016-02-04,-0.000754,-0.003211,0.052377,-0.003211,-0.009904,12800.0,-0.4636416,-3.097978,0.03482215,-7.1264267,0.1594938
2016-02-03,0.012214,0.002797,0.029004,0.002026,0.158458,11300.0,-0.46703222,-3.603035,0.2879076,-7.1711564,-0.33761746
2016-02-02,-0.019461,0.004443,0.006711,-0.017474,-0.257493,10500.0,-0.40948167,-3.9104712,0.5373156,-7.2522078,-0.84321105
2016-02-01,0.006782,0.000603,0.03104,0.000603,0.089132,13300.0,-0.48978737,-4.094184,0.8428273,-7.145378,-0.6370776
2016-01-29,-0.000753,0.018098,0.019618,0.008974,-0.009903,4100.0,-0.49448982,-4.6075945,1.3475698,-7.1658306,-1.0672168
2016-01-28,0.002264,0.027261,0.027261,0.005924,0.02971,3300.0,-0.40508223,-4.991963,1.993782,-7.081751,-1.2371668
2016-01-27,0.01145,0.011275,0.033628,0.011275,0.148554,21300.0,-0.4170474,-5.3647423,2.521308,-6.9234266,-1.6005036
2016-01-26,0.006144,0.016714,0.017489,0.008958,0.079229,11500.0,-0.5894278,-5.831256,2.8069482,-6.7617807,-2.1991398
2016-01-25,0.012442,0.030934,0.039571,0.01366,0.158458,43700.0,0.7949164,-6.5168796,4.31233,-6.440531,-2.1274023
2016-01-22,-0.038864,0.014262,0.050485,-0.029508,-0.514988,37000.0,1.4053007,-6.811677,5.1263413,-6.101305,-2.3608046
2016-01-21,0.016717,0.012803,0.045029,0.012803,0.21788,27000.0,0.91432595,-6.3404474,4.650462,-5.548419,-2.5313797
2016-01-20,-0.062678,-0.029102,-0.027664,-0.0665,-0.871517,220300.0,0.7335725,-6.3353906,4.685886,-5.266428,-3.0304027
2016-01-19,-0.009174,0.01686,0.018285,-0.015207,-0.128747,7200.0,0.3048071,-5.345248,3.8892698,-4.5389657,-2.6919198
2016-01-15,0.009259,-0.007526,0.024837,-0.007526,0.128747,16800.0,0.4043696,-5.295665,4.2522473,-4.104638,-2.8744955
2016-01-14,-0.004255,0.020476,0.020476,0.005437,-0.059422,1600.0,0.45372015,-5.3356733,4.3622885,-3.7565632,-3.047447
2016-01-13,-0.049224,0.000883,0.000883,-0.041331,-0.722962,4600.0,0.2370742,-4.932219,4.0461864,-3.368145,-3.1005843
2016-01-12,0.00953,0.02898,0.02898,0.006984,0.13865,14600.0,-0.28419572,-4.3059807,3.2974186,-2.7890973,-2.6381226
2016-01-11,-0.008103,0.02337,0.02337,-0.003902,-0.118844,7800.0,0.44715092,-4.523549,4.011209,-2.519118,-2.8230362
2016-01-08,-0.013324,0.000316,0.007043,-0.007756,-0.198071,23800.0,1.2585373,-4.4398527,4.4222736,-2.2641947,-2.468889
2016-01-07,-0.026589,0.017592,0.017592,-0.024972,-0.406048,48100.0,1.2343837,-3.9205346,3.9357657,-1.9239886,-2.2499003
2016-01-06,-0.02033,-0.001172,0.011017,-0.012077,-0.316914,26500.0,0.6157936,-2.9858727,2.647347,-1.4722497,-1.9424056
2016-01-05,-0.03613,0.019627,0.019627,-0.032931,-0.584313,101900.0,0.066794865,-2.1777377,1.5178444,-1.16911,-1.7267303
2016-01-04,-0.003052,0.005419,0.007885,0.004802,-0.049517,1800.0,-0.93971634,-0.81057537,-0.19397609,-0.9123771,-1.2984517
2015-12-31,0.003062,0.010971,0.015917,0.010971,0.049517,700.0,-0.93487227,-0.87599313,-0.10572299,-0.80167747,-1.0386714
2015-12-30,-0.002444,0.011584,0.011584,0.007267,-0.039616,800.0,-0.7034836,-1.0044469,-0.019177526,-0.8257336,-1.1568171
2015-12-29,0.001223,0.012822,0.014057,0.009734,0.019808,5800.0,-0.5397477,-0.9717376,-0.05670628,-0.7928841,-1.0115668
2015-12-28,-0.006683,0.008507,0.008507,-0.003148,-0.108938,9300.0,-0.12913585,-1.113824,0.11085929,-0.7760693,-0.8332525
2015-12-24,-0.003632,0.014012,0.014012,0.002399,-0.059423,4700.0,0.5173307,-1.194558,0.35761523,-0.6742319,-0.35963678
2015-12-23,-0.001209,0.016449,0.016449,0.007292,-0.019808,11200.0,0.7889261,-0.9766814,0.15068112,-0.6678027,-0.12373206
2015-12-22,-0.011947,0.010337,0.010337,-0.004139,-0.198071,9800.0,1.4742559,-1.0403993,0.52855337,-0.7731408,0.2769208
2015-12-21,-0.018757,0.016836,0.016836,-0.013941,-0.316915,12100.0,1.7653215,-0.9861129,0.7617875,-0.8830341,0.55616546
