Date,Movement_PerC,Open,High,Low,Close,Volume,latent_1,latent_2,latent_3,latent_4,latent_5
2016-03-31,-0.011896,0.003976,0.007279,0.00124,-1.260833,384500.0,0.9530789,-2.4450922,-0.7663497,-0.21399726,1.392018
2016-03-30,-0.006922,0.011925,0.012862,0.006771,-0.738762,323500.0,1.5618833,-2.6263056,-0.5769919,-0.36118835,0.8878833
2016-03-29,0.015702,0.027814,0.031811,0.021533,1.64991,345900.0,1.3435488,-2.794804,-0.41126126,-0.26703122,0.553735
2016-03-28,0.022291,0.055589,0.06133,0.051601,2.291229,450500.0,1.2983532,-3.0036073,-0.27742335,-0.35981706,0.2744116
2016-03-24,-0.016466,0.018018,0.018018,0.011894,-1.72084,399800.0,0.87357754,-2.4846437,-1.0405275,-0.08810158,1.4684275
2016-03-23,-0.004604,0.033237,0.038095,0.029618,-0.483384,291100.0,1.2302698,-2.8057718,-0.46574333,-0.1693512,0.60107076
2016-03-22,0.013627,0.043745,0.055427,0.040366,1.411477,318600.0,1.1617264,-3.0391474,-0.35493663,-0.14723927,0.19710028
2016-03-21,0.005066,0.032537,0.042434,0.032537,0.522048,442100.0,1.0131305,-2.6137743,-0.90272903,0.14345813,1.1720942
2016-03-18,-0.012323,0.018567,0.024797,0.013967,-1.285797,615500.0,1.2394707,-2.4783192,-1.4894066,-0.16405335,1.4668019
2016-03-17,0.003627,0.028128,0.043422,0.0238,0.377037,354700.0,1.5741124,-2.757783,-1.3373822,-0.4360712,0.92154074
2016-03-16,0.002985,0.027145,0.039686,0.023575,0.309365,343000.0,1.7318853,-2.8553555,-1.694855,-0.60234183,1.0154904
2016-03-15,-0.015879,0.01976,0.019854,0.010645,-1.672493,404400.0,1.960536,-3.0474565,-2.0067616,-0.77527034,0.9190449
2016-03-14,-0.002837,0.034286,0.036558,0.03012,-0.299698,251500.0,2.007469,-3.5301723,-1.6397537,-0.8939575,0.021905623
2016-03-11,0.020359,0.049643,0.055632,0.048484,2.107544,216700.0,1.6843288,-3.7641354,-1.5100826,-0.73530614,-0.22400287
