Date,Movement_PerC,Open,High,Low,Close,Volume,latent_1,latent_2,latent_3,latent_4,latent_5
2016-03-31,-0.005961,0.044872,0.050032,0.037777,-0.277256,16397600.0,0.12576889,-0.7064358,-1.2971036,-0.75288934,-1.7122936
2016-03-30,0.012487,0.053566,0.070109,0.048124,0.573643,16794200.0,0.25147465,-0.53272915,-1.0584832,-1.1357827,-1.3800168
2016-03-29,-0.013347,0.044229,0.044873,0.027476,-0.621448,24459500.0,1.2295506,-0.29934385,-1.1000192,-1.3215224,-1.7319374
2016-03-28,-0.00409,0.048942,0.048942,0.038461,-0.191212,18478100.0,1.5534534,-0.031373248,-1.298137,-1.2725797,-0.85304785
2016-03-24,-0.017283,0.030392,0.031654,0.019882,-0.822216,20871100.0,2.0316603,0.35053524,-1.6250477,-1.1657197,-0.52967215
2016-03-23,-0.012111,0.042002,0.045116,0.032034,-0.58321,13648100.0,1.9704199,0.63527,-1.9137536,-0.79692966,0.4635666
2016-03-22,-0.005921,0.036451,0.044089,0.032117,-0.28682,13907000.0,0.9749637,0.8637564,-1.6907606,-1.0213945,1.3189299
2016-03-21,0.002572,0.045119,0.050293,0.03829,0.124291,13543200.0,0.388187,0.8546828,-1.5590684,-1.1060787,1.7096697
2016-03-18,0.016288,0.06088,0.066349,0.050154,0.774418,35812100.0,-0.002077788,0.8281013,-1.6698859,-1.0810349,1.7246971
2016-03-17,0.003835,0.043624,0.054181,0.031168,0.181648,16002800.0,1.4320843,0.8677069,-2.1064022,-0.9343881,0.56138635
2016-03-16,-0.008803,0.041134,0.052434,0.031298,-0.42067,16629700.0,0.9861221,1.0376892,-1.7770011,-1.725467,0.7988596
2016-03-15,0.002005,0.033785,0.048254,0.031688,0.095612,12945600.0,0.44938096,1.1968087,-1.6324327,-1.9865746,1.115869
2016-03-14,-0.003795,0.043858,0.045947,0.032786,-0.18166,12803900.0,0.19155437,1.1731234,-1.6615298,-2.0993135,1.0538086
2016-03-11,0.032158,0.059099,0.080876,0.053925,1.491471,18318400.0,0.06338282,1.1524322,-1.5703454,-2.2441955,1.0872355
2016-03-10,-0.005739,0.049163,0.053236,0.028154,-0.267697,18542700.0,1.3834255,1.1599636,-1.8930485,-2.0342348,-0.21615785
2016-03-09,-0.005301,0.052984,0.055543,0.034432,-0.248573,17920100.0,1.7472897,1.5158608,-2.1011853,-1.8925834,0.17968324
2016-03-08,-0.020372,0.036338,0.037382,0.021924,-0.975201,18098200.0,2.16844,1.8011038,-2.3321154,-1.6936157,0.4689868
2016-03-07,-0.000798,0.03885,0.046991,0.031962,-0.038242,14386100.0,0.7605865,2.1956005,-2.004305,-2.2002256,1.681884
2016-03-04,0.006832,0.050991,0.061078,0.044056,0.325069,18685600.0,0.59263515,2.368654,-1.4490896,-3.357872,1.7740122
2016-03-03,0.004035,0.047213,0.050589,0.035397,0.191216,14268100.0,0.21517146,2.3171482,-1.6748314,-3.1899703,1.4209886
2016-03-02,0.017447,0.048523,0.064195,0.043585,0.812656,18667700.0,-0.2378807,2.2796,-1.7360468,-3.3248317,1.155625
2016-03-01,0.038363,0.050851,0.086073,0.050851,1.720932,24758500.0,-0.45254827,2.171044,-2.1764483,-2.8994057,0.57802457
2016-02-29,-0.023923,0.045077,0.045077,0.020707,-1.099483,24018100.0,1.1747704,1.949348,-2.642383,-2.5606692,-1.0327859
2016-02-26,0.006701,0.054271,0.063252,0.047699,0.305939,20325600.0,0.43073326,2.3212662,-2.3095837,-2.8015275,0.03381511
2016-02-25,0.00294,0.048144,0.05803,0.048144,0.133846,16646200.0,0.7447284,2.4550233,-2.4723358,-2.854605,-0.31230995
2016-02-24,-0.010187,0.029421,0.036814,0.012459,-0.468468,18595700.0,0.7885388,2.7098098,-2.6131442,-2.9502852,-0.44994074
2016-02-23,-0.022159,0.039143,0.040206,0.020218,-1.042118,15224700.0,0.2396784,2.8062131,-2.5006566,-2.8017488,0.039539605
2016-02-22,0.022874,0.045947,0.073134,0.045947,1.051678,17572800.0,-0.982649,3.1026406,-2.2635806,-3.0421078,0.612513
2016-02-19,0.007542,0.038716,0.055589,0.037401,0.344188,18234900.0,-0.65956736,2.978643,-2.6422324,-2.8305185,-0.56063193
2016-02-18,-0.008311,0.045078,0.046164,0.031821,-0.382434,17162800.0,-0.28903034,3.1650035,-1.8695419,-4.4535275,-0.59235257
2016-02-17,-0.00228,0.054837,0.061558,0.040526,-0.105172,18060500.0,-0.8446751,3.0957792,-1.6003226,-4.6798496,-0.44910303
2016-02-16,0.019658,0.062307,0.070266,0.051695,0.889149,20410600.0,-1.5149922,2.8348696,-1.5255843,-4.5058403,-0.90674543
2016-02-12,0.047609,0.064476,0.097596,0.063781,2.055557,28533900.0,-1.8854313,2.5302634,-1.9561179,-3.8519173,-1.9259002
2016-02-11,-0.021876,0.017856,0.031448,0.008114,-0.965633,32570900.0,-0.37668878,2.487834,-2.3655643,-3.6508167,-4.0086575
2016-02-10,-0.006028,0.05563,0.063286,0.038291,-0.2677,19885500.0,-0.49447745,2.3731327,-2.2777855,-3.245892,-3.3943036
2016-02-09,-0.001075,0.025928,0.051795,0.020305,-0.047798,29896200.0,-0.3070632,2.4501965,-2.513102,-2.9026678,-3.387752
2016-02-08,-0.028416,0.029556,0.034583,0.006609,-1.300263,31172100.0,-0.0025833845,2.4164565,-2.421201,-2.7490108,-3.2081401
2016-02-05,-0.008083,0.048115,0.054835,0.031856,-0.372864,23733700.0,-0.41409904,2.4689488,-2.2733674,-2.488777,-2.304669
2016-02-04,0.013655,0.041552,0.06814,0.040893,0.621441,30851700.0,-0.21526557,2.6040742,-2.082854,-2.6696486,-2.1298785
2016-02-03,-0.017645,0.045839,0.047134,0.003962,-0.81744,47149700.0,0.3298455,2.796514,-2.1426165,-2.8029008,-2.4888008
2016-02-02,-0.022227,0.03969,0.040956,0.029559,-1.053085,25593200.0,-0.43634546,2.8022146,-2.1895306,-2.2230868,-1.4599185
2016-02-01,-0.005774,0.051733,0.052992,0.039982,-0.275135,17385400.0,-1.4057016,3.0466027,-1.7884635,-2.601935,-0.69412726
2016-01-29,0.026778,0.062014,0.082698,0.059428,1.242836,25358300.0,-2.1000578,2.9209325,-1.4241805,-2.881648,-0.72078604
2016-01-28,0.007206,0.065544,0.072054,0.054693,0.332062,21306600.0,-2.0882788,2.5660734,-2.045615,-2.0850725,-2.114256
2016-01-27,0.006423,0.054915,0.076756,0.051202,0.294101,20441500.0,-2.0197806,2.4057255,-1.9687035,-2.0993752,-2.6328807
2016-01-26,0.012589,0.056032,0.073946,0.054042,0.569237,18895100.0,-1.9102004,2.4168205,-1.8905047,-2.2137613,-3.2021065
2016-01-25,-0.027744,0.051676,0.053182,0.023938,-1.290275,23440800.0,-1.3103178,2.3573093,-1.6925887,-2.3965054,-3.814876
2016-01-22,0.021037,0.076435,0.081704,0.066117,0.958217,18298700.0,-2.7736778,2.2434351,-1.1294258,-2.3252685,-2.9246066
2016-01-21,0.002925,0.057565,0.080024,0.054922,0.132824,24272900.0,-1.5441432,2.1804447,-0.43146938,-3.1675725,-3.9212115
2016-01-20,-0.007052,0.033709,0.054916,0.024963,-0.322567,40241100.0,-1.3856988,2.3314934,-0.39112675,-3.1482534,-4.351375
2016-01-19,-0.012495,0.063326,0.069587,0.036122,-0.578724,29918500.0,-1.2359216,2.278407,0.1416704,-3.137062,-4.050178
2016-01-15,-0.03594,0.011372,0.033227,0.001798,-1.726684,40525900.0,-1.1291156,2.1237576,-0.07914276,-2.57026,-3.9457016
2016-01-14,0.018299,0.06146,0.08096,0.051286,0.863338,24569800.0,-2.0447958,1.9280546,0.30901158,-2.187396,-2.909594
2016-01-13,-0.031737,0.061635,0.063072,0.01587,-1.546429,22013500.0,-1.4837439,1.6980947,0.20292145,-2.1507726,-3.5566053
2016-01-12,0.025354,0.070666,0.084133,0.061617,1.204888,28961500.0,-2.0222573,1.5385909,1.0644091,-2.3000064,-2.8869495
2016-01-11,0.010694,0.067228,0.070418,0.055743,0.50283,19046400.0,-1.1502926,1.565132,1.3256412,-2.4380713,-4.2737384
2016-01-08,-0.016667,0.062407,0.063662,0.034383,-0.796939,22981400.0,-0.42042273,1.3359663,1.4061525,-2.2159216,-4.6363277
2016-01-07,-0.028527,0.036366,0.040023,0.018893,-1.404118,30425600.0,0.1250346,1.2376094,1.3945528,-1.6577642,-4.241469
2016-01-06,-0.019096,0.038696,0.048661,0.032917,-0.958214,20026400.0,0.39622033,1.1390802,1.2345985,-0.7944239,-3.3483915
2016-01-05,-0.000378,0.05444,0.061213,0.04687,-0.018974,14759600.0,0.7468448,1.2051507,1.1692848,-0.38373688,-2.5466437
2016-01-04,-0.026674,0.029416,0.032907,0.014098,-1.37566,25985400.0,1.3575449,1.4336139,0.8513137,-0.14823803,-2.2951818
2015-12-31,-0.009656,0.046745,0.055194,0.041176,-0.502827,10553300.0,1.473053,1.48204,0.5521654,0.81816214,-0.76031405
2015-12-30,-0.007235,0.05366,0.054423,0.04451,-0.37949,8016900.0,0.81252843,1.6102934,0.8096518,0.94764704,0.111075334
