Date,Movement_PerC,Open,High,Low,Close,Volume,latent_1,latent_2,latent_3,latent_4,latent_5
2016-03-31,-0.001257,0.041901,0.047129,0.037654,-0.038462,36834300.0,7.943906326779026,-0.568372530564972,0.6170247576100091,-0.7690075774359638,-0.1903596925937115
2016-03-30,0.011118,0.049191,0.055468,0.0482,0.336557,35094000.0,7.858604841662236,-0.3445647428051243,0.7262929942900183,-1.1152153582087982,0.1162229231796452
2016-03-29,-0.000317,0.03895,0.042913,0.033006,-0.009614,38549800.0,7.372054822311663,-0.6368338309603466,0.2696694405824216,-1.092352303408792,-0.1944072207583425
2016-03-28,0.012215,0.040944,0.059664,0.039607,0.365404,39486800.0,7.372191426358298,-0.3695518338113687,0.1944516765422224,-1.4808781044328152,0.2732084713323286
2016-03-24,0.001287,0.034586,0.04128,0.031573,0.038465,27603000.0,6.760310249986666,-0.9693019970866552,-0.4303452293435801,-1.2122961576087798,-0.5422627589423092
2016-03-23,0.000322,0.039271,0.045968,0.038267,0.009613,27235100.0,6.7899635174779,-0.8176266512595878,-0.5389318794772021,-1.1899212033598383,-0.6191815884514589
2016-03-22,-0.000965,0.036262,0.044958,0.035927,-0.028847,26036000.0,6.570917252067736,-0.6958454539250146,0.276111131901914,-1.3252758193859622,-0.7367668118675611
2016-03-21,0.005498,0.037587,0.049358,0.035569,0.16347,27368300.0,6.469188436222912,-0.5198988138045622,0.3631703219033613,-1.6179950239687633,-0.4720891523491875
2016-03-18,-0.001292,0.044308,0.046323,0.037926,-0.038462,52373900.0,6.229126577809946,-0.5357840565175643,0.1342485055641113,-1.6673831220765676,-0.3171606690992374
2016-03-17,0.026185,0.041664,0.072342,0.040286,0.759657,60643300.0,6.181972979938022,-0.3528450719339412,0.1376175586919256,-1.979633479622236,0.1666585438538921
2016-03-16,-0.003633,0.038567,0.040971,0.032729,-0.105776,32847000.0,5.179888886807852,-1.3928546928110015,-0.6347162901854445,-1.2275582232771498,-1.377869531899352
2016-03-15,0.00033,0.031696,0.043377,0.031696,0.009617,28899000.0,5.351808840164531,-0.9824778931197162,-0.3461669960667882,-1.5774169123389634,-0.8746076359134396
2016-03-14,-0.002307,0.035828,0.040969,0.031029,-0.067312,22160300.0,5.287896347287255,-0.8843724283448215,-0.158101445712495,-1.607323891605781,-0.6984855713195806
2016-03-11,0.01336,0.046888,0.062171,0.046888,0.384636,32159600.0,5.343120807334775,-0.7204298046343408,-0.0511902956119971,-1.7825130248294638,-0.4305452277010991
2016-03-10,-0.00366,0.044094,0.048247,0.030943,-0.105772,33147900.0,4.840774316282589,-1.3771915305936056,-0.0502744960801248,-0.9426595832027224,-2.2051693183865337
2016-03-09,-0.000333,0.043401,0.044785,0.036827,-0.009615,24820900.0,5.1305192849354855,-0.9475360119266818,0.0013806988490661,-1.0238409462885476,-2.286573767382199
2016-03-08,-0.007593,0.032731,0.037538,0.028954,-0.221169,31147900.0,5.221198816334461,-0.6891563327177573,0.0553034385738971,-1.0501546981898966,-2.6816893332646137
