Date,Movement_PerC,Open,High,Low,Close,Volume,latent_1,latent_2,latent_3,latent_4,latent_5
2016-03-31,-0.010461,0.100898,0.107585,0.095549,-0.469299,1274800.0,-1.2767283624455943,2.7060845076961058,-2.397146663166166,0.8568834486766466,1.295431237662095
2016-03-30,0.018647,0.135505,0.146403,0.124833,0.821273,2040100.0,-1.105503570815007,3.038831497077511,-1.8433592933234413,0.7647134349628457,2.2947328714067727
2016-03-29,0.001642,0.089609,0.110987,0.083696,0.072197,1715200.0,-1.5311007409919786,2.287882964558684,-2.52555467416346,0.9545222475701056,1.489459550313873
2016-03-28,0.0,0.114399,0.114399,0.101208,0.0,910100.0,-1.5510232873898733,2.398545890133755,-2.509199205189665,1.3684918495405367,0.895696636152774
2016-03-24,0.009741,0.088741,0.119513,0.085985,0.424176,1887300.0,-1.5769607619468584,2.494161013245901,-2.4262575625021205,1.5081612586253652,0.4260531997769299
2016-03-23,-0.013292,0.103499,0.104406,0.09217,-0.586624,2814500.0,-1.4449447011841343,2.858290175928349,-2.437361539435894,1.7533184202112744,-0.4263435693695891
2016-03-22,-0.014113,0.083234,0.098649,0.081671,-0.631749,3025100.0,-0.9026706709192528,3.419636814468627,-2.4196632087037866,1.4782402088917046,-0.6125041220983624
2016-03-21,-0.009783,0.092546,0.10051,0.082149,-0.442234,2689700.0,-0.53235016541393,4.208398767830961,-1.676357944891414,1.1548090736330094,0.0027199019321989
2016-03-18,-0.011642,0.101035,0.106063,0.088791,-0.532474,3903500.0,-0.2354513090631328,4.75893776210311,-1.2277776166276664,0.9861206200276376,0.4147453361041542
2016-03-17,0.026534,0.124415,0.139676,0.116335,1.182281,2434400.0,-0.0654758569742458,4.9702856412918415,-0.9038876898087292,0.7178650559327757,1.1273040349323595
2016-03-16,0.025763,0.108952,0.137729,0.108261,1.119099,2128200.0,-0.3704127947715747,4.525879607507721,-1.4126871469836428,0.5188750092950711,1.0714444743892106
2016-03-15,-0.007219,0.08609,0.100717,0.083347,-0.315868,3563300.0,-0.7976631977585439,3.8851313480952063,-2.181020249926429,0.7640776878905201,-0.316952920670391
2016-03-14,-0.006557,0.090775,0.106215,0.085098,-0.288804,1857200.0,-0.6508737056860427,4.229311106889055,-1.5478160762513684,0.6345728210123491,0.316236159858644
2016-03-11,0.022632,0.125446,0.136591,0.121963,0.974698,3069800.0,-0.4773919703252671,4.5149858298578,-1.218676081182679,0.5152506225059632,0.712152786232033
2016-03-10,-0.014253,0.089491,0.097273,0.081709,-0.622723,4558700.0,-0.9149750600798612,3.8833331022436073,-2.082670451691379,0.7971312706722895,-0.6923184264764523
2016-03-09,0.018086,0.110827,0.132732,0.105235,0.77615,3087500.0,-0.5282809397143977,4.4153252044773525,-1.501215588143516,0.3129393653672015,0.3568080344822743
2016-03-08,-0.020597,0.095707,0.097076,0.072428,-0.902497,4076500.0,-0.8740940268688951,4.118001769096738,-1.990195058747969,0.5145296104558873,-0.7638535886926962
2016-03-07,0.006426,0.074955,0.121123,0.074496,0.279774,2834200.0,-0.5928628616712508,4.7580155747951975,-1.154320970636557,0.0577554857552927,0.3771960445334607
2016-03-04,0.007729,0.100393,0.126086,0.09993,0.333927,2749500.0,-0.6790750325700354,4.972240332148811,-1.0803365320815563,0.0774196082611737,0.4594873367508298
2016-03-03,0.011837,0.104284,0.123723,0.100302,0.505402,2728200.0,-0.8746950239977281,4.8712890980210855,-1.1658079883458925,-0.1253570608727758,0.6636403741351559
2016-03-02,0.016545,0.099698,0.126363,0.09446,0.694919,3145800.0,-1.1543404091024716,4.613915294722321,-1.1780840381887547,-0.1950295657885851,0.9102187270219034
2016-03-01,0.018158,0.117,0.128635,0.105849,0.749077,2531600.0,-1.571402013420976,4.256614390730937,-1.2261194552889156,-0.090183550538792,0.8476401149824251
2016-02-29,-0.000219,0.115544,0.118694,0.105123,-0.009025,3401600.0,-1.9043980552619617,3.878673729674419,-1.3997375550579825,0.0675197690689025,0.7249859892029116
2016-02-26,0.009272,0.121239,0.124175,0.112189,0.379055,3742600.0,-2.050097847013982,3.641141119447592,-1.3826287456666817,0.2225342756613282,0.5488234714650317
2016-02-25,0.02096,0.129008,0.134252,0.104535,0.839325,4225900.0,-2.2721840831021454,3.411376921556736,-1.570423379061766,0.3308060927727741,0.2843877192334059
2016-02-24,0.000451,0.073553,0.111029,0.070306,0.018051,3410000.0,-2.5543278250041617,3.204880649966652,-1.896598223967074,0.5087606734653882,-0.8564354024870228
2016-02-23,-0.042324,0.084583,0.092957,0.058982,-1.768913,3072400.0,-2.3108846382744805,3.604516313290793,-1.929001682524704,0.5717576411458932,-1.38381180171347
