Date,Movement_PerC,Open,High,Low,Close,Volume,latent_1,latent_2,latent_3,latent_4,latent_5
2016-03-31,-0.012755,0.043256,0.045618,0.020125,-1.566017,8758300.0,0.5192733,-0.6254355,0.22131202,-0.61677426,-1.7060716
2016-03-30,-0.017573,0.052048,0.06205,0.024362,-2.196244,5949000.0,1.0072672,-0.87957346,-0.7588092,-0.7405976,-1.6455629
2016-03-29,-0.003123,0.035601,0.044375,0.02244,-0.391487,4910200.0,0.8077835,-0.97658134,-1.4677687,-0.8383943,-1.5236125
2016-03-28,-0.006282,0.050497,0.05121,0.034802,-0.792556,3352200.0,0.8610411,-1.1417731,-2.1004527,-1.0521421,-1.6378669
2016-03-24,-0.00557,0.037394,0.042281,0.02494,-0.70662,4573100.0,0.98367965,-1.342028,-2.4547117,-0.91370344,-1.9901385
2016-03-23,-0.016726,0.046239,0.046317,0.028801,-2.158043,4361200.0,0.6411777,-1.6719619,-3.0829167,-0.9568722,-1.8595014
2016-03-22,-0.005447,0.041697,0.049097,0.038922,-0.706604,4989000.0,-0.26653573,-2.1281137,-3.9311197,-1.3124471,-1.6162673
2016-03-21,0.014183,0.043338,0.069292,0.042791,1.814255,5671400.0,-0.7961873,-2.3858685,-4.0651655,-1.3383075,-1.4478148
2016-03-18,0.024943,0.051574,0.079137,0.049731,3.112946,9108400.0,-0.72735786,-2.5670521,-3.3881989,-0.778605,-1.224572
2016-03-17,0.024536,0.051351,0.08033,0.046015,2.988792,5801000.0,-0.620976,-2.798809,-2.4566216,-0.03914117,-1.0507841
2016-03-16,0.009576,0.046252,0.061916,0.042191,1.155411,5154700.0,-0.31948027,-3.0451055,-1.4875315,0.13924155,-0.98853326
2016-03-15,0.000158,0.040699,0.047496,0.029591,0.019112,3717500.0,-0.34010598,-3.2808747,-0.98420006,0.058854766,-1.0523078
2016-03-14,0.01372,0.041365,0.067162,0.040777,1.632835,4283400.0,-0.7121632,-3.521368,-0.92541635,0.07186886,-1.0295732
2016-03-11,0.013747,0.057384,0.069054,0.055084,1.613754,3260100.0,-0.5891695,-3.712274,-0.37660286,0.3468984,-0.8717813
2016-03-10,0.000651,0.049633,0.05543,0.035058,0.076393,4111300.0,-0.15474723,-3.768186,0.19307858,0.09200152,-1.0644284
2016-03-09,0.004168,0.047504,0.055036,0.044508,0.486985,3380300.0,-0.50443983,-3.9966273,0.16091481,-0.24634022,-1.243049
2016-03-08,-0.004475,0.039407,0.047843,0.033698,-0.525177,5257300.0,-0.64089954,-4.172972,0.36156377,-0.34894645,-1.3123531
2016-03-07,0.015115,0.044911,0.066709,0.042922,1.747436,4504700.0,-0.889298,-4.373136,0.32464856,-0.36619413,-0.963866
2016-03-04,0.012206,0.05215,0.070186,0.049348,1.394135,4421500.0,-0.728252,-4.557472,0.73842204,-0.48810598,-0.999568
2016-03-03,-0.000334,0.040157,0.047947,0.034993,-0.038193,3404600.0,-0.4473566,-4.7523875,1.1611516,-0.9324541,-1.10733
2016-03-02,-0.002584,0.044366,0.054143,0.034501,-0.296021,4292500.0,-0.6345934,-4.8910017,1.1669908,-1.2809383,-1.0527146
