Date,Movement_PerC,Open,High,Low,Close,Volume,latent_1,latent_2,latent_3,latent_4,latent_5
2016-03-31,-0.002733,0.00042,0.002747,-0.007639,-585.0,200.0,0.005222734,-1.2568321,-0.10406789,-3.2252727,-1.4971329
2016-03-30,0.005804,0.00726,0.010949,0.003703,1235.0,300.0,-0.4168451,-0.8365847,0.25348866,-3.4773216,-1.52217
2016-03-29,0.003182,0.001461,0.004125,-0.005303,675.0,100.0,-0.04914814,-1.1570108,-0.40782124,-3.3985324,-1.3632017
2016-03-28,0.007576,0.002802,0.009923,0.001235,1595.0,200.0,0.5297831,-1.6690884,-0.42794555,-3.3904567,-1.3777963
2016-03-24,-0.003974,-0.005535,-0.001845,-0.008729,-840.0,200.0,1.3010962,-2.40884,-0.5317396,-3.1468978,-1.6053809
2016-03-23,-0.009513,-0.002343,-0.000281,-0.009513,-2030.0,300.0,1.8763455,-2.8175318,-0.39365208,-3.3325405,-2.3760877
2016-03-22,0.000469,-0.000469,0.005804,-0.002391,100.0,200.0,0.8780402,-1.7028565,0.7168403,-3.7015407,-2.403357
2016-03-21,-0.000141,0.0,0.003141,-0.002203,-30.0,200.0,0.8216671,-1.5875149,1.0107499,-3.5525293,-2.3635216
2016-03-18,-0.001264,0.003043,0.004494,-0.005239,-270.0,300.0,0.6227342,-1.3407564,1.264587,-3.466035,-2.2941704
2016-03-17,0.016175,0.00019,0.018078,-0.001308,3400.0,400.0,0.35078785,-0.98449975,1.5633416,-3.3515499,-2.3712018
2016-03-16,-0.004122,-0.004122,-0.000332,-0.004406,-870.0,400.0,1.7067051,-2.222526,0.8899835,-2.8660421,-2.5016894
2016-03-15,0.003661,-0.002758,0.00428,-0.005359,770.0,200.0,1.1810391,-1.7342668,1.66349,-2.8665135,-2.5501692
2016-03-14,-0.006144,0.00189,0.003072,-0.00827,-1300.0,200.0,1.4290085,-1.9924197,1.9608681,-2.8030796,-2.5006497
2016-03-11,0.011859,0.00416,0.011859,0.001769,2480.0,600.0,0.7174667,-1.3321803,2.6514268,-2.7580771,-2.5174978
2016-03-10,-0.000621,0.002939,0.003589,-0.006308,-130.0,700.0,1.3562069,-1.537543,2.0997043,-2.2695122,-2.7372613
2016-03-09,0.006063,0.001668,0.006904,0.001255,1261.0,500.0,1.0620873,-1.3762808,2.459942,-2.1634164,-2.5615063
2016-03-08,-0.002451,-0.001679,0.000959,-0.005851,-511.0,600.0,1.331845,-1.515504,2.431141,-1.8394372,-2.4586153
2016-03-07,0.002669,-0.00214,0.003871,-0.006367,555.0,700.0,0.8276433,-1.0072672,2.8630006,-1.676536,-2.4172134
2016-03-04,0.009442,0.000971,0.009442,-0.001456,1945.0,1100.0,0.69642955,-0.84909505,3.0800264,-1.3896943,-2.0735235
2016-03-03,0.002433,0.001217,0.004355,-0.002438,500.0,400.0,0.5728036,-0.9555885,3.214703,-1.0488867,-1.2910305
2016-03-02,0.0,0.002433,0.002477,-0.004477,0.0,400.0,0.3805282,-0.797261,3.3604228,-0.8653001,-1.0573643
