Date,Movement_PerC,Open,High,Low,Close,Volume,latent_1,latent_2,latent_3,latent_4,latent_5
2016-03-31,-0.011006,0.040999,0.045159,0.034279,-0.343919,17880000.0,-0.48721668,-0.9658746,-1.1780726,0.69935113,0.92238235
2016-03-30,0.010191,0.049022,0.058721,0.04385,0.315256,16598000.0,0.11711775,-1.3293788,-1.2435374,0.8811111,0.32995725
2016-03-29,0.015047,0.047744,0.064479,0.041181,0.458559,15313200.0,-0.14043263,-0.920124,-1.1997068,0.76134026,0.3445003
2016-03-28,0.000627,0.046431,0.0507,0.038223,0.01911,11433000.0,-0.9089306,-0.40979597,-0.9088584,0.2959286,1.1199722
2016-03-24,-0.00375,0.042507,0.045124,0.036946,-0.114644,14211900.0,-1.0053949,-0.7043424,-0.8511689,0.14124805,1.4245955
2016-03-23,-0.009901,0.051618,0.051618,0.035748,-0.305702,18765300.0,-0.8143539,-1.1344206,-1.2151574,0.27100652,1.3315456
2016-03-22,-0.000618,0.040933,0.050644,0.034136,-0.019108,22200400.0,-0.31638843,-1.9122207,-1.4239848,0.36808926,0.80856824
2016-03-21,-0.010404,0.032346,0.038432,0.023377,-0.32481,21760900.0,-0.110517636,-2.1321807,-1.3772581,0.30652198,0.63462186
2016-03-18,0.021889,0.052651,0.069999,0.049378,0.668728,49934200.0,0.37037182,-2.4873416,-1.4323277,0.5096153,0.23064712
2016-03-17,0.009151,0.049072,0.062614,0.04709,0.277046,22865300.0,0.021152787,-1.8411767,-1.789675,0.34012273,-0.006980151
2016-03-16,0.001264,0.041468,0.05172,0.030884,0.038212,26298400.0,-0.18447684,-1.649863,-1.5696414,0.022416994,0.19500011
2016-03-15,0.007,0.043762,0.054087,0.034437,0.210175,16927700.0,-0.035894275,-1.8505337,-1.2312808,-0.15128613,0.19094647
2016-03-14,-0.01039,0.043464,0.044452,0.031599,-0.31526,17438600.0,0.10435568,-1.9591072,-0.8798152,-0.3375971,0.3824615
2016-03-11,0.01632,0.060828,0.064848,0.056139,0.487219,22811200.0,0.537285,-2.258806,-1.0278478,-0.015493982,-0.031957388
2016-03-10,0.01231,0.055915,0.064731,0.030144,0.363022,29584800.0,0.39328378,-1.6072276,-1.1170781,-0.1350038,-0.37920442
2016-03-09,0.010144,0.056008,0.063201,0.050527,0.296154,14707800.0,0.1651972,-1.2860508,-1.040988,-0.41561282,-0.30487967
