Date,Movement_PerC,Open,High,Low,Close,Volume,latent_1,latent_2,latent_3,latent_4,latent_5
2016-03-31,-0.006548,0.039078,0.042252,0.031798,-1.403167,1105200.0,1.6687787,1.9105233,-0.457887,0.6773475,-2.4121614
2016-03-30,0.009966,0.04637,0.055137,0.04538,2.114334,950900.0,1.9629395,1.9222126,0.0029393435,1.154578,-2.4583907
2016-03-29,0.00776,0.04024,0.04936,0.037533,1.633789,748500.0,1.1422627,2.187295,-0.16752493,0.4486503,-2.5342388
2016-03-28,0.004862,0.044391,0.047923,0.042148,1.018707,994000.0,0.96457785,1.9867942,-0.813869,-0.15653521,-2.3142128
2016-03-24,-0.014734,0.039538,0.041654,0.02115,-3.133026,1319200.0,0.9899729,1.7429771,-1.2609625,-0.5252016,-2.2416987
2016-03-23,0.002401,0.041279,0.049057,0.040007,0.509369,781900.0,1.9361107,2.27775,0.29894334,0.91428477,-2.5067253
2016-03-22,-0.002395,0.039538,0.047438,0.036951,-0.509369,925300.0,1.9307201,2.1116648,-0.13670489,1.034351,-2.382103
2016-03-21,0.001584,0.03817,0.051264,0.03817,0.33638,1149700.0,2.1385412,1.9642168,-0.16411729,1.5330596,-2.196721
2016-03-18,0.007571,0.044084,0.049257,0.036349,1.595321,2114600.0,1.7406776,2.1870954,-0.14507025,1.598644,-2.2205973
2016-03-17,0.004858,0.040954,0.048871,0.036853,1.018723,1299100.0,1.050425,2.4678524,0.042557552,1.289494,-2.4371543
2016-03-16,0.005252,0.040957,0.049586,0.036882,1.095627,882600.0,0.56999403,2.627778,0.18995133,1.1545507,-2.4758034
2016-03-15,0.002077,0.034472,0.043984,0.031926,0.432449,1012300.0,0.25986934,2.7813144,-0.017737538,0.5481867,-2.326799
2016-03-14,-0.002073,0.03367,0.04273,0.03367,-0.432449,934500.0,0.24956432,2.446867,-0.429973,0.27864027,-2.3099065
2016-03-11,0.002263,0.047444,0.05172,0.037642,0.470901,1336400.0,0.32464746,2.6598275,-0.080906644,0.5718483,-2.282803
2016-03-10,0.000693,0.043073,0.05067,0.036967,0.144165,1367600.0,0.2830128,2.2295537,-0.9421232,-0.0071809366,-2.0708108
2016-03-09,0.004969,0.047338,0.052992,0.042458,1.028336,988200.0,0.37061352,2.1239073,-1.3503568,-0.17265868,-1.9209148
2016-03-08,-0.002317,0.031414,0.042309,0.01671,-0.48053,1843800.0,0.44231135,1.9868792,-1.7112176,-0.2980153,-1.8713113
2016-03-07,-0.013168,0.034721,0.038908,0.024255,-2.767837,1017800.0,1.0038829,1.88659,-1.3723059,-0.007702835,-2.0600176
2016-03-04,0.000915,0.037621,0.043192,0.035954,0.192215,935500.0,1.9191794,2.6384993,-0.3491727,0.93979543,-1.7231638
2016-03-03,0.006077,0.037076,0.047328,0.032573,1.268585,875200.0,2.0687196,2.8623714,-0.23335548,0.7389863,-1.5137471
2016-03-02,-0.004264,0.040334,0.044007,0.029315,-0.893784,1188600.0,1.9649901,2.4697945,-1.0555501,0.06255316,-1.4170748
2016-03-01,0.010844,0.044383,0.052869,0.036137,2.248841,1159500.0,2.0878181,2.6539855,-0.93205166,0.4579935,-1.2113518
2016-02-29,-0.006675,0.037795,0.044644,0.033293,-1.393509,1248600.0,1.967655,2.267444,-1.579503,0.23523816,-1.1634318
2016-02-26,-0.00522,0.044527,0.047053,0.034474,-1.095612,1210200.0,2.4224284,2.4364111,-1.3485094,0.9052517,-0.8740562
2016-02-25,0.015695,0.050178,0.065374,0.047177,3.243088,1489300.0,2.7519605,2.3803668,-1.1914823,1.836735,-0.71046996
2016-02-24,0.006879,0.040737,0.057353,0.040347,1.411713,1301600.0,1.6257875,3.1150227,-0.56148314,1.4042667,-1.0925654
2016-02-23,0.000651,0.047509,0.051946,0.042828,0.133514,1282900.0,1.0605283,3.154377,-0.7575884,1.0567498,-1.1132997
2016-02-22,0.006507,0.048387,0.063895,0.048387,1.325867,974000.0,1.0686796,2.7896686,-1.7237854,1.0641443,-0.56426287
2016-02-19,-0.002708,0.049904,0.05103,0.041045,-0.553254,1233300.0,0.8289606,2.4646797,-2.5433674,0.70387,-0.10566747
2016-02-18,0.006863,0.045972,0.061988,0.04474,1.392624,987100.0,0.5964408,2.6159666,-2.3137484,0.51219356,-0.034729406
2016-02-17,0.017895,0.053403,0.068301,0.048889,3.567414,1237700.0,-0.024756253,2.8348594,-2.3660364,-0.24941969,-0.11350562
2016-02-16,0.014169,0.055713,0.065735,0.052304,2.785217,1548300.0,-0.33130163,2.642987,-3.2413642,-1.1357301,0.20292896
2016-02-12,-0.005309,0.054105,0.062252,0.040139,-1.049225,2331700.0,-0.14548375,2.337201,-3.8320851,-1.2336079,0.32075793
