Date,Movement_PerC,Open,High,Low,Close,Volume,latent_1,latent_2,latent_3,latent_4,latent_5
2016-03-31,-0.001192,0.04587,0.052586,0.041393,-0.143784,7685900.0,-3.33184,-3.2674527,-3.6603389,-1.0689436,-2.7375329
2016-03-30,0.015004,0.051043,0.061141,0.048519,1.782944,4853700.0,-3.3582506,-3.1377456,-3.8139703,-0.9321574,-2.830795
2016-03-29,0.006495,0.045419,0.055075,0.044657,0.766861,7188200.0,-3.0429568,-3.5209427,-3.0778303,-0.48336363,-2.6529393
2016-03-28,-0.000973,0.049225,0.050917,0.041779,-0.115028,4784400.0,-3.2711163,-3.9017262,-1.9206527,-0.23979019,-2.7230165
2016-03-24,-0.007247,0.039017,0.041621,0.030365,-0.86271,5796700.0,-3.5293531,-3.9629292,-1.4452049,-0.22470203,-3.128246
2016-03-23,0.002988,0.045576,0.053159,0.043554,0.354668,4143600.0,-3.5154023,-3.2469094,-2.5779686,-0.6739352,-3.6947832
2016-03-22,8.1e-05,0.043049,0.048104,0.041111,0.00959,3494500.0,-3.5473628,-3.238905,-2.1470401,-0.5176719,-3.8483713
2016-03-21,-0.002176,0.039686,0.046748,0.034557,-0.258812,4050100.0,-3.5247188,-3.0579398,-2.1621666,-0.49278164,-3.9498782
2016-03-18,0.00747,0.045504,0.051349,0.039744,0.881874,14783800.0,-3.523131,-2.6831994,-2.6155868,-0.4698512,-4.0495734
2016-03-17,-0.002914,0.041106,0.046004,0.039754,-0.345077,6108700.0,-3.5105822,-2.580577,-2.1079333,-0.4032284,-3.9342124
2016-03-16,0.000729,0.042372,0.048542,0.036794,0.086258,6716700.0,-3.7268057,-2.0146408,-2.44209,-0.4382645,-3.9041774
2016-03-15,0.004312,0.038124,0.050517,0.03736,0.508049,5061400.0,-3.56422,-1.7317605,-2.6424286,-0.351709,-3.665405
2016-03-14,0.011107,0.045449,0.059867,0.042359,1.294075,7912100.0,-3.3185606,-1.5232644,-2.829589,-0.21776542,-3.2547948
2016-03-11,0.013086,0.047652,0.060868,0.046521,1.504959,7042300.0,-3.0011027,-1.3762174,-3.0058298,0.13067584,-2.6742132
2016-03-10,0.002842,0.045572,0.053855,0.034672,0.32592,6171200.0,-2.5440304,-1.400335,-3.0463624,0.45132405,-2.1347845
2016-03-09,0.010302,0.050441,0.058898,0.04357,1.169457,6428200.0,-2.3653727,-1.2988108,-3.2066965,0.56398994,-1.6814518
2016-03-08,0.010841,0.034847,0.060404,0.034847,1.217392,6236200.0,-2.0864904,-1.5474534,-3.0120192,0.9059599,-1.1645987
2016-03-07,-0.000256,0.041882,0.046689,0.03378,-0.028756,5640700.0,-2.0856953,-1.9414117,-2.4999878,1.2650286,-0.5108541
2016-03-04,0.004199,0.043485,0.050012,0.036155,0.469696,5857400.0,-2.1750593,-1.9363388,-2.4898224,1.2832127,-0.786522
2016-03-03,-0.015108,0.034412,0.034412,0.015393,-1.715843,9132000.0,-2.1616306,-2.115639,-2.2517347,1.3046598,-0.9599696
2016-03-02,-0.003113,0.040672,0.042164,0.032772,-0.354675,4267700.0,-2.1220202,-1.6951222,-2.9035974,0.94130754,-1.4574627
2016-03-01,0.014165,0.049627,0.061021,0.04838,1.591232,4731500.0,-2.2122736,-1.4900577,-3.2226186,0.8269036,-1.3878323
2016-02-29,0.001111,0.0409,0.054892,0.040098,0.124619,6467700.0,-2.0040693,-1.9786341,-2.528242,1.2275388,-0.9042215
2016-02-26,-0.003575,0.047657,0.050232,0.031584,-0.402603,5193700.0,-2.0454788,-2.1317687,-2.3453772,1.254927,-0.7734347
2016-02-25,0.011191,0.054443,0.064051,0.052018,1.246292,6034000.0,-2.338108,-1.4869659,-3.0631325,0.8741238,-0.935514
2016-02-24,0.001369,0.045905,0.054987,0.04123,0.152206,5349800.0,-2.266129,-1.9117017,-2.3887212,1.2391905,-0.37900513
2016-02-23,-0.006544,0.048262,0.055408,0.043795,-0.732551,5276700.0,-2.5666285,-1.9412303,-2.1483731,1.2167655,-0.14110401
2016-02-22,0.009783,0.05112,0.065823,0.05112,1.084556,6223300.0,-3.272572,-1.583148,-2.299422,1.043739,-0.3081633
2016-02-19,-0.005462,0.049595,0.052735,0.03892,-0.608871,10793700.0,-3.44867,-1.9211113,-1.6375709,1.3545798,-0.1338473
2016-02-18,-0.01239,0.052627,0.058385,0.03597,-1.398499,9707100.0,-3.6451588,-1.8325698,-1.7544795,1.1027106,-0.6226692
2016-02-17,-0.004531,0.05112,0.053061,0.029424,-0.513756,12729000.0,-3.8979168,-1.4381772,-2.4956565,0.77913207,-0.80368716
2016-02-16,0.0106,0.055488,0.062262,0.048179,1.189217,10835800.0,-4.0407515,-1.2168787,-2.955136,0.579029,-0.6994699
2016-02-12,0.01028,0.05103,0.065528,0.045447,1.141632,8552800.0,-3.9016383,-1.4368266,-2.6944504,0.7282344,-0.2669656
2016-02-11,-0.006891,0.035024,0.050763,0.034576,-0.770592,7568600.0,-3.9366593,-1.6345072,-2.307754,0.90738934,0.24762735
2016-02-10,0.004529,0.060193,0.064775,0.053366,0.504219,5726300.0,-4.7267733,-1.0730001,-2.617177,0.6061087,0.4058463
2016-02-09,0.008272,0.046501,0.066971,0.04478,0.9133,7525700.0,-5.245594,-0.86380786,-2.6746035,0.6135819,0.82107455
2016-02-08,0.005633,0.038824,0.059864,0.026618,0.618393,11311500.0,-5.9006968,-0.55206543,-2.7795553,0.7073709,0.70197636
2016-02-05,-0.043594,0.051033,0.051033,0.001465,-5.004189,13261700.0,-5.5454407,-1.0608331,-2.3698592,0.43534768,-0.13378078
2016-02-04,-0.006668,0.047399,0.04913,0.027324,-0.770599,7595000.0,-4.3406687,-2.6708474,-1.4816328,-0.1203558,-2.5514357
2016-02-03,-0.020008,0.054597,0.056463,0.024747,-2.359383,9327000.0,-4.138739,-2.946789,-1.1377915,-0.36411297,-3.3735714
2016-02-02,-0.005297,0.046397,0.048843,0.038383,-0.627907,7653000.0,-4.1316357,-2.336731,-2.059498,-0.9484342,-4.1653285
2016-02-01,0.006706,0.045176,0.060037,0.044667,0.789643,6189900.0,-4.1153297,-1.9638693,-2.3906531,-0.96729314,-4.105959
2016-01-29,0.01144,0.05447,0.068041,0.054298,1.331909,10549900.0,-3.7646284,-1.7998108,-2.5500145,-0.76869863,-3.6628277
2016-01-28,0.012493,0.05312,0.066165,0.045294,1.436554,7460500.0,-3.3445249,-1.708814,-2.7049384,-0.38000607,-3.1053526
2016-01-27,0.003654,0.055048,0.061507,0.045883,0.418602,7409000.0,-2.9048626,-1.7286725,-2.710752,-0.12566258,-2.596077
2016-01-26,0.010319,0.054648,0.069638,0.049357,1.170189,8326100.0,-2.8930228,-1.3714976,-2.9145048,-0.09279746,-2.1503754
2016-01-25,0.006757,0.081748,0.082192,0.049345,0.761078,15141500.0,-2.5241475,-1.5658529,-2.8845606,0.032533035,-1.7540631
