Date,Movement_PerC,Open,High,Low,Close,Volume,latent_1,latent_2,latent_3,latent_4,latent_5
2016-03-31,-0.003307,0.020366,0.03017,0.014238,-0.215897,96200.0,1.0404148,-2.3761394,2.1713893,-1.0090806,-1.893669
2016-03-30,0.015883,0.038595,0.052756,0.033304,1.020615,108600.0,0.84948707,-2.2805512,2.3568316,-0.93448144,-1.92392
2016-03-29,-0.014746,-0.014437,0.008101,-0.02103,-0.961731,156300.0,2.046506,-2.4806955,1.8739916,-0.58574104,-1.864549
2016-03-28,0.004838,0.019911,0.026536,0.010513,0.314033,63600.0,1.9138286,-2.2965589,2.0599563,-0.64604956,-1.7541189
2016-03-24,-0.005563,0.002287,0.013318,-0.005986,-0.363106,142400.0,2.3749056,-2.2341785,1.7933797,-0.7786682,-1.7425543
2016-03-23,-0.028909,0.033567,0.033567,-0.013298,-1.943107,168200.0,2.402887,-2.126363,1.4877981,-1.1866692,-1.5808542
2016-03-22,-0.010117,0.00426,0.018251,0.001462,-0.686951,77300.0,1.6184839,-2.02369,1.2503256,-1.8907535,-1.4470555
2016-03-21,-0.011006,0.008355,0.017531,0.000489,-0.755653,164700.0,1.2939664,-1.7955807,1.265946,-2.238884,-1.4789251
2016-03-18,-0.009346,0.018554,0.022306,0.006145,-0.647705,205300.0,0.7670835,-1.4644078,1.5935553,-2.3954997,-1.5150009
2016-03-17,0.019195,0.024281,0.042811,0.022369,1.305214,160100.0,0.8095846,-1.1170862,1.780337,-2.2838945,-1.551188
2016-03-16,0.006099,-0.00513,0.027865,-0.008977,0.412178,207200.0,1.3760737,-1.2358007,1.6100037,-2.1265984,-1.6592593
2016-03-15,-0.003905,0.004691,0.016482,-2.5e-05,-0.264969,87300.0,1.4515519,-1.0478635,1.5535474,-2.307707,-1.7688767
2016-03-14,-0.029478,-0.006616,-0.00347,-0.016343,-2.060875,110700.0,1.2698193,-0.8489018,1.7791916,-2.2134655,-1.8159267
2016-03-11,0.055564,0.056884,0.077116,0.054619,3.680137,204400.0,0.9123218,-0.36555868,2.2400827,-2.1472435,-1.8832377
2016-03-10,-0.011281,0.022719,0.022719,-0.012362,-0.755661,173300.0,2.1270032,-0.9985619,1.4960392,-1.9820732,-1.8041819
2016-03-09,0.00545,0.026492,0.035648,0.015835,0.363106,165600.0,1.953793,-0.6708172,1.253228,-2.558375,-1.5521878
2016-03-08,-0.043129,-0.000114,2.9e-05,-0.025679,-3.002975,219500.0,2.1805387,-0.5106077,0.8967191,-3.0206823,-1.466172
2016-03-07,-0.012389,-0.011083,0.011328,-0.015622,-0.873421,194400.0,1.058593,0.0693857,1.5853225,-3.436626,-1.516402
2016-03-04,0.024529,0.017824,0.054155,0.017534,1.687943,381600.0,1.3628798,0.81663483,2.306463,-3.1724107,-1.6549741
2016-03-03,-0.00426,-0.003731,0.016961,-0.00923,-0.294403,224400.0,1.4513113,0.5043517,2.239972,-3.125592,-1.9003164
2016-03-02,0.0324,0.024515,0.054243,0.018539,2.168823,175900.0,1.2859459,0.82641387,2.654712,-2.8911576,-1.9516152
2016-03-01,0.040738,0.03951,0.066718,0.031425,2.620239,103100.0,0.8507978,0.2078287,2.4903533,-2.930148,-2.1115603
2016-02-29,-0.011761,0.006234,0.014378,-0.001294,-0.765457,100700.0,1.3283212,-0.46205813,1.757392,-2.9098268,-2.0563908
2016-02-26,0.01749,0.047909,0.060259,0.035402,1.118751,91900.0,1.4022694,0.02650576,2.0695002,-2.8805754,-2.044263
2016-02-25,-0.004277,-4e-06,0.016497,-0.0095,-0.274772,82400.0,1.9094129,-0.21393946,1.7479488,-2.8100047,-2.1350467
