Date,Movement_PerC,Open,High,Low,Close,Volume,latent_1,latent_2,latent_3,latent_4,latent_5
2016-03-31,0.00074,0.069141,0.07409,0.067359,0.037392,12428600.0,1.3810778,3.833159,1.4576104,3.1555896,5.133111
2016-03-30,-0.000185,0.07211,0.076068,0.062808,-0.009346,14528300.0,1.4784503,3.9624739,1.3890738,3.342654,4.68228
2016-03-29,0.012172,0.071938,0.083357,0.067732,0.607632,10770500.0,1.6707022,4.0005255,1.4664001,2.9923623,4.44868
2016-03-28,-0.002987,0.069735,0.07313,0.062545,-0.149574,8527100.0,1.5058746,3.2221713,1.9669082,2.8770225,4.586913
2016-03-24,0.012285,0.066298,0.08409,0.06468,0.607627,15096400.0,1.7843835,3.5270162,1.8253949,2.676617,4.4537473
2016-03-23,-0.005638,0.068126,0.070137,0.061894,-0.280448,9716100.0,0.8695054,2.549337,2.0176895,3.4897673,4.8050585
2016-03-22,-0.004304,0.069334,0.070135,0.062929,-0.215004,10852000.0,1.2116776,2.8134007,1.5565498,3.2702684,5.26458
2016-03-21,0.003757,0.06873,0.076767,0.065314,0.186962,10679000.0,1.4502292,3.4203732,1.1444724,3.121575,4.925073
2016-03-18,-0.007272,0.073325,0.074123,0.061956,-0.364575,23209400.0,1.4394631,3.35292,0.89510894,3.2985244,4.9247694
2016-03-17,0.007893,0.071142,0.081797,0.069333,0.392617,16401500.0,1.7875812,3.9061317,0.4209534,3.1127377,4.6454716
2016-03-16,0.010253,0.069735,0.084155,0.064251,0.504806,11866400.0,2.0224543,3.5052242,0.70970273,2.6194417,4.529173
2016-03-15,0.002474,0.063627,0.073807,0.063627,0.121521,11295700.0,1.9814401,2.8993287,1.1214969,2.212893,4.525731
2016-03-14,0.00019,0.070142,0.074215,0.063626,0.009346,11729400.0,1.9899101,2.7312312,1.0931349,2.2800424,4.6172175
2016-03-11,0.004014,0.076482,0.07914,0.068099,0.196312,15223900.0,2.121145,2.830761,0.9421166,2.2937267,4.554332
2016-03-10,-0.000382,0.074027,0.076275,0.062582,-0.018696,15102100.0,1.7680738,2.5045714,0.8348199,2.695819,4.569189
2016-03-09,-0.002287,0.07157,0.079931,0.060355,-0.112171,15466600.0,1.7807572,2.6304002,0.6001898,2.6127524,4.543905
2016-03-08,0.004788,0.066457,0.080799,0.063998,0.233696,14306500.0,1.9589024,2.833921,0.5307272,2.2681863,4.423507
2016-03-07,0.007721,0.063954,0.080884,0.06127,0.373928,14907500.0,1.836263,2.561372,0.60006,2.2860997,4.266034
2016-03-04,-0.001542,0.066849,0.072003,0.061695,-0.074783,13957600.0,1.4512157,2.331507,0.5839479,2.7546651,3.8139293
2016-03-03,-0.004413,0.070145,0.071787,0.059267,-0.215012,15404500.0,1.5409622,2.4904022,0.38658178,2.6508405,3.7221797
2016-03-02,0.012826,0.069735,0.085118,0.064122,0.616982,14791100.0,1.9627941,2.808542,0.31722322,2.388067,3.4180748
2016-03-01,0.01439,0.075218,0.085339,0.075007,0.682411,12003300.0,2.1536334,2.175649,0.8604247,1.6646606,3.3867698
2016-02-29,-0.005684,0.06638,0.077283,0.062816,-0.271099,15986300.0,1.5682724,1.1994491,1.0718039,2.1467023,3.761411
2016-02-26,-0.001761,0.070572,0.074549,0.065758,-0.084133,13011500.0,2.019625,1.6828825,0.78096175,1.8653482,3.8464234
2016-02-25,0.005706,0.071419,0.079839,0.068893,0.271099,12358700.0,2.2671895,1.9149314,0.797989,1.66911,3.7058659
2016-02-24,0.003753,0.062128,0.074806,0.060016,0.177604,11244900.0,1.7764642,1.3331659,0.96291935,1.9836577,3.9154088
2016-02-23,-0.008616,0.06764,0.068059,0.054863,-0.411316,11594600.0,1.7234075,1.3444159,0.7867707,2.284743,3.8607821
2016-02-22,0.004129,0.069735,0.075834,0.067842,0.196312,12456000.0,2.2376065,1.9715288,0.4077388,1.9539,3.754356
2016-02-19,-0.00157,0.065535,0.072465,0.056505,-0.074779,15607000.0,2.3680902,1.827148,0.53883755,1.9148132,3.5463893
2016-02-18,0.012321,0.065483,0.086317,0.062082,0.579586,19678500.0,2.487428,2.0638666,0.38352412,2.0723503,2.9876504
2016-02-17,0.001592,0.073355,0.0774,0.066328,0.074779,15228900.0,2.4702878,1.5334132,0.53527105,1.9397477,3.1434672
2016-02-16,0.002594,0.07251,0.073791,0.058421,0.121529,16360000.0,2.4428916,1.4574261,0.45558894,2.0474284,3.162735
2016-02-12,0.014578,0.072984,0.087062,0.068868,0.673061,20990900.0,2.0667315,1.3454055,0.008841291,2.7975562,3.1896038
2016-02-11,-0.011805,0.061602,0.072303,0.054539,-0.55154,30521000.0,1.2180471,0.87526065,-0.6221685,4.03229,3.2536511
2016-02-10,-0.00339,0.070588,0.073361,0.058429,-0.15892,18633100.0,1.185832,1.1874695,-1.4415393,4.018666,4.2023363
2016-02-09,-0.011628,0.055399,0.066994,0.04043,-0.551533,22633900.0,0.7784972,1.2328777,-2.229054,4.382399,4.6132464
2016-02-08,-0.004512,0.061969,0.066167,0.04455,-0.215008,27058100.0,1.2327507,2.3096128,-3.4308765,4.5078177,4.234325
2016-02-05,0.010708,0.067402,0.086068,0.067189,0.504799,25790300.0,1.2118967,2.6981301,-4.169444,4.5082273,4.1799355
2016-02-04,-0.003754,0.064451,0.069312,0.049659,-0.177624,19594300.0,0.73599327,2.0604932,-4.3515015,4.5992284,4.095719
2016-02-03,0.014226,0.077022,0.084952,0.059232,0.66372,20309800.0,0.47842574,2.3278222,-4.9750366,4.828937,3.1435647
2016-02-02,-0.016745,0.066574,0.066995,0.046342,-0.794587,21607000.0,0.093188226,1.8394355,-5.4053736,4.6764226,2.9676406
2016-02-01,0.01581,0.069093,0.092213,0.063741,0.738503,28536600.0,-0.014388621,2.3476026,-6.1083946,4.443705,1.956089
2016-01-29,0.019588,0.078029,0.091125,0.074319,0.897419,29082600.0,-0.4676404,1.4858681,-5.7349224,3.7480114,0.916777
2016-01-28,-0.000408,0.070389,0.079117,0.057517,-0.018696,20085200.0,-0.7375697,0.68654054,-5.436242,2.7044811,0.48399952
2016-01-27,0.016166,0.070622,0.097227,0.069735,0.729153,33795700.0,-0.7058526,0.41843736,-5.5070972,2.46257,-0.651608
2016-01-26,0.025941,0.07201,0.09794,0.07019,1.140472,22620900.0,-0.9534498,-0.65783024,-4.8557587,2.0319679,-2.0330102
